idx,maximum_speed,speed_limit,average_speed,vehicle_class_1,vehicle_class_2,vehicle_class_3,vehicle_class_4,vehicle_class_5,vehicle_class_6,vehicle_class_7,vehicle_class_8,vehicle_class_9,vehicle_class_10,vehicle_class_11,vehicle_class_12,vehicle_class_13,bike,motorcycle,StrType
10288,44,50,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
40447,70,50,51,524,1,32,4,3,0,2,1,1,0,0,0,0,5,7,Arterial
14695,20,40,12,12,0,0,0,0,0,0,0,0,0,0,0,0,10,1,Council Minor
13622,25,40,14,50,0,1,0,0,0,0,0,0,0,0,0,0,35,2,Council Minor
47651,23,20,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
14062,20,40,14,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Council Minor
21053,82,60,49,702,1,21,9,0,0,0,0,1,2,0,0,0,3,15,Arterial
13618,49,40,14,40,0,0,0,0,0,0,0,0,0,0,0,0,25,0,Council Minor
38797,11,25,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
47115,14,20,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
38649,23,25,19,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Council Minor
38548,55,50,34,286,1,0,2,0,0,0,0,0,0,0,0,0,6,11,Arterial
14179,9,40,6,8,0,2,0,0,0,0,0,0,0,0,0,0,8,0,Council Minor
11841,63,50,39,720,3,10,1,0,1,2,0,0,0,0,0,4,23,18,Arterial
13951,18,40,11,7,0,2,0,0,0,0,0,0,0,0,0,0,3,0,Council Minor
38665,26,25,15,34,0,1,0,0,0,0,0,0,0,0,0,0,2,0,Council Minor
13233,22,40,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
33888,7,50,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
8593,35,50,24,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Council Minor
20838,68,60,46,472,0,23,0,0,0,0,0,0,0,0,0,0,0,3,Arterial
11820,68,50,43,531,2,6,1,0,1,0,0,1,0,0,0,3,10,3,Arterial
11700,64,50,41,682,0,14,1,0,0,0,0,0,0,0,0,4,13,9,Arterial
14345,9,40,7,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,Council Minor
14098,19,40,11,13,0,0,0,0,0,0,0,0,0,0,0,0,7,0,Council Minor
22745,80,60,50,261,0,9,1,0,0,0,0,1,0,0,0,0,0,3,Arterial
21072,106,60,38,1584,8,43,2,2,3,0,1,3,0,0,0,0,7,22,Arterial
15486,28,50,23,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
38617,63,50,37,297,2,4,2,1,0,0,0,0,0,0,0,0,8,5,Arterial
20814,68,60,48,474,0,15,2,0,1,0,0,1,0,0,0,0,0,0,Arterial
22628,70,60,52,168,0,3,0,1,0,0,0,1,0,0,0,0,0,1,Arterial
47141,17,20,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
38359,55,50,28,520,2,34,3,2,1,0,1,0,0,0,0,0,3,13,Arterial
33790,36,50,23,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
20962,78,60,53,174,0,10,9,3,0,0,0,2,5,0,0,0,19,8,Arterial
13598,20,40,14,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Council Minor
47657,30,20,15,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
10143,30,50,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
10696,47,50,30,12,0,2,0,0,0,0,0,0,0,0,0,0,0,1,Council Minor
33837,40,50,26,12,0,2,1,0,0,0,0,0,0,0,0,0,0,0,Council Minor
40713,79,50,55,472,1,62,2,1,1,0,0,2,1,0,0,0,4,7,Arterial
13763,23,40,14,52,0,0,0,0,0,0,0,0,0,0,0,0,38,0,Council Minor
